NAME,URL,CoreCog,CORE
aaleykusunda,https://github.com/lexibank/aaleykusunda,,
abrahammonpa,https://github.com/lexibank/abrahammonpa,,
abvdoceanic,https://github.com/lexibank/abvdoceanic,,
acd,https://github.com/lexibank/acd,,
allenbai,https://github.com/lexibank/allenbai,,
backstromnorthernpakistan,https://github.com/lexibank/backstromnorthernpakistan,,
baf2,https://github.com/lexibank/baf2,,
bantubvd,https://github.com/lexibank/bantubvd,,
bdpa,https://github.com/lexibank/bdpa,TRUE,TRUE
beidasinitic,https://github.com/lexibank/beidasinitic,,
beidazihui,https://github.com/lexibank/beidazihui,,
birchallchapacuran,https://github.com/lexibank/birchallchapacuran,,
blustaustronesian,https://github.com/sequencecomparison/blustaustronesian,TRUE,
bodtkhobwa,https://github.com/lexibank/bodtkhobwa,TRUE,
bowernpny,https://github.com/lexibank/bowernpny,TRUE,TRUE
bremerberta,https://github.com/lexibank/bremerberta,,
cals,https://github.com/lexibank/cals,TRUE,
carvalhopurus,https://github.com/lexibank/carvalhopurus,TRUE,
castrosui,https://github.com/lexibank/castrosui,,
castroyi,https://github.com/lexibank/castroyi,,
castrozhuang,https://github.com/lexibank/castrozhuang,,
chacolanguages,https://github.com/lexibank/chacolanguages,,
chaconarawakan,https://github.com/lexibank/chaconarawakan,TRUE,
chaconbaniwa,https://github.com/lexibank/chaconbaniwa,TRUE,
chaconcolumbian,https://github.com/lexibank/chaconcolumbian,TRUE,
chaconnorthwestarawakan,https://github.com/lexibank/chaconnorthwestarawakan,TRUE,
chacontukanoan,https://github.com/lexibank/chacontukanoan,TRUE,
chenhmongmien,https://github.com/lexibank/chenhmongmien,,
chindialectsurvey,https://github.com/lexibank/chindialectsurvey,,
chingelong,https://github.com/digling/chingelong,,
clarkkimmun,https://github.com/lexibank/clarkkimmun,,
constenlachibchan,https://github.com/lexibank/constenlachibchan,TRUE,
crossandean,https://github.com/lexibank/crossandean,TRUE,
csd,https://github.com/lexibank/csd,,
davletshinaztecan,https://github.com/lexibank/davletshinaztecan,TRUE,
deepadungpalaung,https://github.com/lexibank/deepadungpalaung,TRUE,
dhakalsouthwesttibetic,https://github.com/lexibank/dhakalsouthwesttibetic,,
dravlex,https://github.com/lexibank/dravlex,TRUE,
dunnaslian,https://github.com/lexibank/dunnaslian,TRUE,
dunnielex,https://github.com/sequencecomparison/dunnielex,,
duonglachi,https://github.com/lexibank/duonglachi,,
felekesemitic,https://github.com/lexibank/felekesemitic,TRUE,
galuciotupi,https://github.com/lexibank/galuciotupi,,
gaotb,https://github.com/digling/gaotb,TRUE,
gerarditupi,https://github.com/lexibank/gerarditupi,,
germancognates,https://github.com/lexibank/germancognates,,
gravinachadic,https://github.com/lexibank/gravinachadic,TRUE,TRUE
grollemundbantu,https://github.com/lexibank/grollemundbantu,,TRUE
halenepal,https://github.com/lexibank/halenepal,,
hantganbangime,https://github.com/lexibank/hantganbangime,,
hattorijaponic,https://github.com/sequencecomparison/hattorijaponic,TRUE,
hillburmish,https://github.com/lexibank/hillburmish,,
houchinese,https://github.com/sequencecomparison/houchinese,TRUE,
hsiuhmongmien,https://github.com/lexibank/hsiuhmongmien,,
hubercolumbian,https://github.com/lexibank/hubercolumbian,,
huntergatherer,https://github.com/lexibank/huntergatherer,,
ids,https://github.com/intercontinental-dictionary-series/ids,,
idssegmented,https://github.com/intercontinental-dictionary-series/idssegmented,,
iecor,https://github.com/lexibank/iecor,TRUE,TRUE
ivanisuansu,https://github.com/lexibank/ivanisuansu,,
johanssonsoundsymbolic,https://github.com/lexibank/johanssonsoundsymbolic,,
joophonosemantic,https://github.com/lexibank/joophonosemantic,,
kahd,https://github.com/tupian-language-resources/kahd,TRUE,TRUE
kesslersignificance,https://github.com/sequencecomparison/kesslersignificance,TRUE,
kitchensemitic,https://github.com/lexibank/kitchensemitic,,
kleinewillinghoeferbikwinjen,https://github.com/lexibank/kleinewillinghoeferbikwinjen,,
kochtukanoan,https://github.com/lexibank/kochtukanoan,,
kraftchadic,https://github.com/lexibank/kraftchadic,,
lairgyalrong,https://github.com/lexibank/lairgyalrong,,
lamanisoic,https://github.com/lexibank/lamanisoic,,
leeainu,https://github.com/lexibank/leeainu,,
leecaijia,https://github.com/lexibank/leecaijia,,
leejaponic,https://github.com/lexibank/leejaponic,,
leekoreanic,https://github.com/lexibank/leekoreanic,TRUE,
lieberherrkhobwa,https://github.com/lexibank/lieberherrkhobwa,TRUE,
lindseyende,https://github.com/intercontinental-dictionary-series/lindseyende,,
lionnetyotonahua,https://github.com/lexibank/lionnetyotonahua,TRUE,
liusinitic,https://github.com/lexibank/liusinitic,TRUE,
lsi,https://github.com/lexibank/lsi,,
luangthongkumkaren,https://github.com/lexibank/luangthongkumkaren,TRUE,
lundgrenomagoa,https://github.com/lexibank/lundgrenomagoa,TRUE,
mannburmish,https://github.com/lexibank/mannburmish,TRUE,
marrisonnaga,https://github.com/lexibank/marrisonnaga,,
mattercariban,https://github.com/cldf-datasets/mattercariban,,
mcd,https://github.com/lexibank/mcd,TRUE,
mcelhanonhuon,https://github.com/lexibank/mcelhanonhuon,TRUE,
meloniromance,https://github.com/lexibank/meloniromance,,
mitterhoferbena,https://github.com/lexibank/mitterhoferbena,,
mixezoqueanvoices,https://github.com/lexibank/mixezoqueanvoices,,
mixtecansubgrouping,https://github.com/lexibank/mixtecansubgrouping,TRUE,
naganorgyalrongic,https://github.com/lexibank/naganorgyalrongic,,
