alias,concepticon_id,concepticon_gloss,notes
ancestor,1669,ANCESTORS,
armor,1061,ARMOUR,
bagpipes,4150,BAGPIPE,
besides,1816,BESIDE,
betel nut,217,BETELNUT,
buttock,834,BUTTOCKS,
chopstick,1987,CHOPSTICKS,
clam,4156,CLAMS,
crop,3081,CROPS,
crustacean,2686,CRUSTACEANS (PRAWNS OR SHRIMP),
descendant,490,DESCENDANTS,
ear lobe,18,EARLOBE,
eighty-eight,3589,EIGHTY EIGHT,
eighty-five,3586,EIGHTY FIVE,
eighty-four,3585,EIGHTY FOUR,
eighty-nine,3590,EIGHTY NINE,
eighty-one,3583,EIGHTY ONE,
eighty-seven,3588,EIGHTY SEVEN,
eighty-six,3587,EIGHTY SIX,
eighty-three,3498,EIGHTY THREE,
eighty-two,3584,EIGHTY TWO,
fifty-eight,3566,FIFTY EIGHT,
fifty-five,3494,FIFTY FIVE,
fifty-four,3563,FIFTY FOUR,
fifty-nine,3567,FIFTY NINE,
fifty-one,3561,FIFTY ONE,
fifty-seven,3565,FIFTY SEVEN,
fifty-six,3564,FIFTY SIX,
fifty-three,3493,FIFTY THREE,
fifty-two,3562,FIFTY TWO,
fire drill,517,FIREDRILL,
forty-eight,3492,FORTY EIGHT,
forty-five,3491,FORTY FIVE,
forty-four,3490,FORTY FOUR,
forty-nine,3560,FORTY NINE,
forty-one,3556,FORTY ONE,
forty-seven,3559,FORTY SEVEN,
forty-six,3558,FORTY SIX,
forty-three,3489,FORTY THREE,
forty-two,3557,FORTY TWO,
grandparent,305,GRANDPARENTS,
gray,153,GREY,American spelling
gum,139,GUMS,
hiccup,162,HICCOUGH,modern spelling
hop,3316,HOPS,
intestine,1991,INTESTINES,
know-how,2238,KNOW HOW,
left-handed,2825,LEFT HANDED,
lentil,3330,LENTILS,
light bulb,4000,LIGHTBULB,
muntjac,3152,MUNTJACS,
mussel,2829,MUSSELS,
ninety-eight,3596,NINETY EIGHT,
ninety-five,3594,NINETY FIVE,
ninety-four,3593,NINETY FOUR,
ninety-nine,3501,NINETY NINE,
ninety-one,3499,NINETY ONE,
ninety-seven,3595,NINETY SEVEN,
ninety-six,3500,NINETY SIX,
ninety-three,3592,NINETY THREE,
ninety-two,3591,NINETY TWO,
noon,12,MIDDAY,synonym
one-time,374,ONE TIME,
oyster,2830,OYSTERS,
parent,505,PARENTS,
pebble,961,PEBBLES,
possession,3860,POSSESSIONS,
prawn,238,PRAWNS,
rapid,1670,RAPIDS,
relative,1644,RELATIVES,
rumor,63,RUMOUR,
sandal,4034,SANDALS,
sea horse,2586,SEAHORSE,
seventy-eight,3581,SEVENTY EIGHT,
seventy-five,3578,SEVENTY FIVE,
seventy-four,3577,SEVENTY FOUR,
seventy-nine,3582,SEVENTY NINE,
seventy-one,3576,SEVENTY ONE,
seventy-seven,3580,SEVENTY SEVEN,
seventy-six,3579,SEVENTY SIX,
seventy-three,3497,SEVENTY THREE,
seventy-two,3496,SEVENTY TWO,
shoulder blade,172,SHOULDERBLADE,
shoulder blade,172,SHOULDERBLADE,two words
sixty-eight,3574,SIXTY EIGHT,
sixty-five,3571,SIXTY FIVE,
sixty-four,3570,SIXTY FOUR,
sixty-nine,3575,SIXTY NINE,
sixty-one,3568,SIXTY ONE,
sixty-seven,3573,SIXTY SEVEN,
sixty-six,3572,SIXTY SIX,
sixty-three,3495,SIXTY THREE,
sixty-two,3569,SIXTY TWO,
stilt,2593,STILTS,
stir-fry,2162,STIR FRY,
storm cloud,448,STORM CLOUDS,
temple,1604,TEMPLES,
testicle,797,TESTICLES,
thirty-eight,3487,THIRTY EIGHT,
thirty-five,3484,THIRTY FIVE,
thirty-four,3483,THIRTY FOUR,
thirty-nine,3488,THIRTY NINE,
thirty-one,3480,THIRTY ONE,
thirty-seven,3486,THIRTY SEVEN,
thirty-six,3485,THIRTY SIX,
thirty-three,3482,THIRTY THREE,
thirty-two,3481,THIRTY TWO,
toward,2754,TOWARDS,
twenty-eight,3478,TWENTY EIGHT,
twenty-five,1738,TWENTY FIVE,
twenty-four,1736,TWENTY FOUR,
twenty-nine,3479,TWENTY NINE,
twenty-one,1734,TWENTY ONE,
twenty-seven,3477,TWENTY SEVEN,
twenty-six,3476,TWENTY SIX,
twenty-three,3165,TWENTY THREE,
twenty-two,3166,TWENTY TWO,
twin,1005,TWINS,
vegetable,924,VEGETABLES,
viand,2550,VIANDS (PROVISIONS),
wage,1122,WAGES,
weapon,951,WEAPONS,
wood,2311,WOODS,
