family,code
Abinomn,abi
Abkhaz-Adyge,abk
Abun,abu
Aewa,aew
Afro-Asiatic,afa
Aikanã,aik
Ainu,ain
Algic,alg
Alsea-Yaquina,als
Amto-Musan,amt
Andaqui,and
Andoque,ana
Anem,ane
Angan,ang
Anim,ani
Arafundi,ard
Araucanian,arc
Arawakan,ara
Arawan,arb
Artificial Language,art
Arutani,aru
Atakapa,ata
Athabaskan-Eyak-Tlingit,ath
Atlantic-Congo,atl
Austroasiatic,aav
Austronesian,map
Aymaran,aym
Baibai-Fas,baa
Baining,bai
Bangime,ban
Barbacoan,bar
Basque,bas
Bayono-Awbono,bay
Beothuk,beo
Berta,ber
Bilua,bil
Blue Nile Mao,blu
Bogaya,bog
Bogia,boc
Bookkeeping,boo
Boran,boa
Border,bor
Bororoan,bob
Bosavi,bos
Bulaka River,bul
Bunaban,bun
Burmeso,bua
Burushaski,bur
Caddoan,cad
Cahuapanan,cah
Camsá,cam
Candoshi-Shapra,can
Canichana,caa
Cariban,car
Cayubaba,cab
Cayuse,cay
Central Sudanic,cen
Chapacuran,cha
Chibchan,chi
Chicham,chc
Chimakuan,chj
Chimariko,chf
Chinookan,chd
Chiquitano,chg
Chitimacha,chh
Chocoan,cho
Chonan,che
Chukotko-Kamchatkan,chu
Chumashan,chb
Coahuilteco,coa
Cochimi-Yuman,coc
Cofán,cof
Comecrudan,com
Coosan,coo
Cotoname,cot
Cuitlatec,cui
Dagan,dag
Dajuic,daj
Damal,dam
Dem,dem
Dibiyaso,dib
Dizoid,diz
Dogon,dog
Doso-Turumsa,dos
Dravidian,dra
Duna,dun
East Bird's Head,eab
East Kutubu,eaf
East Strickland,eaa
East-Caucasian,eac
Eastern Daly,eae
Eastern Jebel,ead
Eastern Trans-Fly,eas
Elamite,ela
Eleman,ele
Elseng,els
Eskimo-Aleut,esk
Esselen,ess
Etruscan,etr
Fasu,fas
Fulniô,ful
Furan,fur
Fuyug,fuy
Gaagudju,gaa
Garrwan,gar
Geelvink Bay,gee
Giimbiyu,gii
Great Andamanese,gre
Greater Kwerba,gra
Guahiboan,gub
Guaicuruan,gua
Guató,guc
Gumuz,gum
Gunwinyguan,gun
Hadza,had
Haida,hai
Harakmbut,har
Hatam-Mansim,hat
Hattic,haa
Heibanic,hei
Hibito-Cholon,hib
Hmong-Mien,hmx
Hoti,hot
Hruso,hru
Huarpean,hub
Huavean,hua
Huitotoan,hui
Hurro-Urartian,hur
Ijoid,ijo
Indo-European,ine
Iroquoian,iro
Irántxe-Münkü,ira
Itonama,ito
Iwaidjan Proper,iwa
Japonic,jpx
Jarawa-Onge,jaa
Jarrakan,jar
Jicaquean,jic
Kadugli-Krongo,kad
Kaki Ae,kab
Kakua-Nukak,kak
Kalapuyan,kal
Kamakanan,kac
Kamula-Elevala,kam
Kanoê,kan
Kapori,kap
Karankawa,kae
Kartvelian,kar
Karuk,kaf
Katla-Tima,kaa
Katukinan,kat
Kaure-Kosare,kau
Kawesqar,kaw
Kayagaric,kay
Kehu,keh
Kenaboi,ken
Keram,kea
Keresan,ker
Khoe-Kwadi,kho
Kibiri,kib
Kimki,kim
Kiowa-Tanoan,kio
Kiwaian,kiw
Klamath-Modoc,kla
Koiarian,koi
Kol (Papua New Guinea),koa
Kolopom,kol
Koman,kom
Konda-Yahadian,kon
Koreanic,kor
Kresh-Aja,kre
Kru,kru
Kujarge,kuj
Kuliak,kul
Kunama,kua
Kungarakany,kub
Kunimaipan,kun
Kunza,kuc
Kuot,kuo
Kusunda,kus
Kutenai,kut
Kwalean,kwa
Kwaza,kwb
Kwomtari-Nai,kwo
Kxa,kxa
Laal,laa
Lakes Plain,lak
Laragia,lar
Lavukaleve,lav
Leco,lec
Left May,lef
Lencan,lea
Lengua-Mascoy,len
Lepki-Murkim-Kembra,lep
Limilngan-Wulna,lim
Lower Sepik,low
Lule,lul
Maban,mad
Maiduan,mag
Mailuan,mai
Mairasic,maf
Mande,man
Mangarrayi-Maran,mab
Maningrida,mac
Manubaran,maa
Marori,mah
Marrku-Wurrugu,mar
Massep,mas
Matacoan,maj
Mataguayan,mat
Mawes,maw
Mayan,may
Maybratic,mae
Meroitic,mer
Mirndi,mir
Misumalpan,mis
Miwok-Costanoan,miw
Mixe-Zoque,mix
Mixed Language,mia
Mochica,moc
Molale,mol
Molof,mob
Mombum-Koneraw,mom
Momuna,mod
Mongolic,moa
Mongolic-Khitan,mon
Mor (Bomberai Peninsula),mor
Mosetén-Chimané,mos
Movima,mov
Mpur,mpu
Muniche,mua
Muno,mun
Muskogean,mus
Máku,mak
Naduhup,nad
Nakh-Daghestanian,nak
Nambiquaran,nam
Namla-Tofanma,nab
Nara,naa
Narrow Talodi,nar
Natchez,nat
Ndu,ndu
Nihali,nih
Nilotic,nil
Nimboranic,nim
Nivkh,niv
North Bougainville,nob
North Halmahera,nor
North-Eastern Tasmanian,noa
Nubian,nud
Nuclear Torricelli,nua
Nuclear Trans New Guinea,nuc
Nuclear-Macro-Je,nub
Nyimang,nyi
Nyulnyulan,nyu
Odiai,odi
Omurano,omu
Ongota,ong
Otomanguean,oto
Oyster Bay-Big River-Little Swanport,oys
Pahoturi,pah
Palaihnihan,pal
Pama-Nyungan,pny
Pano-Tacanan,pan
Papi,pap
Pauwasi,pau
Pawaia,paw
Peba-Yagua,peb
Pele-Ata,pel
Piawi,pia
Pidgin,pid
Pirahã,pir
Pomoan,pom
Puelche,pue
Puinave,pui
Pumé,pum
Purari,pur
Puri-Coroado,pua
Pyu,pyu
Páez,pae
Quechua,que
Quechuan,qwe
Ramu,ram
Rashad,ras
Sahaptian,saa
Saharan,sah
Saliban,sab
Salinan,sac
Salishan,sal
Sandawe,san
Sapé,sap
Sause,sau
Savosavo,sav
Senagi,sea
Sentanic,sen
Sepik,sep
Seri,ser
Shabo,sha
Shastan,shb
Shom Peng,sho
Siamou,sia
Sign Language,sig
Sino-Tibetan,sit
Siouan,sio
Siuslaw,siu
Sko,sko
Songhay,son
South Bird's Head,sou
South Bird's Head Family,soe
South Bougainville,sob
South Omotic,soa
South-Eastern Tasmanian,soc
Southern Daly,sod
