Language_ID,Glottocode,Notes
aaleykusunda_ProtoKusunda,kusu1250,auto:exact_name (Kusunda)
bdpa_AustralianEnglishPerth,aust1314,auto:base_name (Australian English (Perth) -> Australian English)
bdpa_Danish,dani1285,auto:exact_name (Danish)
bdpa_DutchAntwerp,dutc1256,auto:base_name (Dutch (Antwerp) -> Dutch)
bdpa_DutchLimburg,dutc1256,auto:base_name (Dutch (Limburg) -> Dutch)
bdpa_DutchOstend,dutc1256,auto:base_name (Dutch (Ostend) -> Dutch)
bdpa_Dutch,dutc1256,auto:exact_name (Dutch)
bdpa_English,stan1293,auto:exact_name (English)
bdpa_EnglishBuckie,stan1293,auto:base_name (English (Buckie) -> English)
bdpa_EnglishLindisfarne,stan1293,auto:base_name (English (Lindisfarne) -> English)
bdpa_EnglishLiverpool,stan1293,auto:base_name (English (Liverpool) -> English)
bdpa_EnglishLondon,stan1293,auto:base_name (English (London) -> English)
bdpa_EnglishNorthCarolina,stan1293,auto:base_name (English (North Carolina) -> English)
bdpa_EnglishSingapore,stan1293,auto:base_name (English (Singapore) -> English)
bdpa_EnglishTyrone,stan1293,auto:base_name (English (Tyrone) -> English)
bdpa_Faroese,faro1244,auto:exact_name (Faroese)
bdpa_French,stan1290,auto:exact_name (French)
bdpa_German,stan1295,auto:exact_name (German)
bdpa_Icelandic,icel1247,auto:exact_name (Icelandic)
bdpa_IndianEnglishDelhi,indi1255,auto:base_name (Indian English (Delhi) -> Indian English)
bdpa_Italian,ital1282,auto:exact_name (Italian)
bdpa_Jaqaru,jaqa1244,auto:exact_name (Jaqaru)
bdpa_Ladino,ladi1251,auto:exact_name (Ladino)
bdpa_Ligurian,ligu1248,auto:exact_name (Ligurian)
bdpa_LombardEast,lomb1257,auto:base_name (Lombard (East) -> Lombard)
bdpa_LombardWest,lomb1257,auto:base_name (Lombard (West) -> Lombard)
bdpa_NewZealandEnglishAuckland,newz1240,auto:base_name (New Zealand English (Auckland) -> New Zealand English)
bdpa_NigerianEnglishIgbo,nige1260,auto:base_name (Nigerian English (Igbo) -> Nigerian English)
bdpa_NorwegianStavanger,norw1258,auto:base_name (Norwegian (Stavanger) -> base)
bdpa_Occitan,occi1239,auto:exact_name (Occitan)
bdpa_SwedishSkane,swed1254,auto:base_name (Swedish (Skane) -> Swedish)
bdpa_SwedishStockholm,swed1254,auto:base_name (Swedish (Stockholm) -> Swedish)
bdpa_Venetian,vene1258,auto:exact_name (Venetian)
crossandean_Arma,arma1244,auto:exact_name (Arma)
csd_as,assi1247,auto:exact_name (Assiniboine)
csd_bi,bilo1248,auto:exact_name (Biloxi)
csd_ca,cata1286,auto:exact_name (Catawba)
csd_cr,crow1244,auto:exact_name (Crow)
csd_da,dako1258,auto:exact_name (Dakota)
csd_hi,hida1246,auto:exact_name (Hidatsa)
csd_la,lako1247,auto:exact_name (Lakota)
csd_ma,mand1446,auto:exact_name (Mandan)
csd_of,ofoo1242,auto:exact_name (Ofo)
csd_op,omah1247,auto:exact_name (Omaha-Ponca)
csd_os,osag1243,auto:exact_name (Osage)
csd_qu,quap1242,auto:exact_name (Quapaw)
csd_sp,sapo1254,auto:exact_name (Saponi)
csd_st,ston1242,auto:exact_name (Stoney)
csd_tu,tute1247,auto:exact_name (Tutelo)
csd_wo,wocc1242,auto:exact_name (Woccon)
diacl_33500,basq1248,auto:base_name (Basque (West) -> base)
diacl_68000,esto1258,auto:exact_name (Estonian)
gaotb_BikaHani,hani1248,auto:base_name (Hani (Bika) -> Hani)
gaotb_HaobaiHani,hani1248,auto:base_name (Hani (Haobai) -> Hani)
gaotb_HayaHani,hani1248,auto:base_name (Hani (Haya) -> Hani)
gled_ALLENTIAC,alle1238,auto:exact_name (ALLENTIAC)
gled_BALADE,bala1316,auto:exact_name (BALADE)
gled_CHOLTI,chol1283,auto:exact_name (CHOLTI)
gled_CUITLATEC,cuit1236,auto:exact_name (CUITLATEC)
gled_DHUWAL,dhuw1249,auto:exact_name (DHUWAL)
gled_DORASQUE,dora1242,auto:exact_name (DORASQUE)
gled_GUAMO,guam1236,auto:exact_name (GUAMO)
gled_GUINAU,guin1258,auto:exact_name (GUINAU)
gled_GWARA,gwar1240,auto:exact_name (GWARA)
gled_IRANUN,iran1262,auto:exact_name (IRANUN)
gled_KAERA,kaer1234,auto:exact_name (KAERA)
gled_KATHLAMET,kath1253,auto:exact_name (KATHLAMET)
gled_MILLCAYAC,mill1237,auto:exact_name (MILLCAYAC)
gled_NABIT,nabi1240,auto:exact_name (NABIT)
gled_NATI,nati1244,auto:exact_name (NATI)
gled_NESE,nese1235,auto:exact_name (NESE)
gled_PAYAGUA,paya1236,auto:exact_name (PAYAGUA)
gled_SITU,situ1238,auto:exact_name (SITU)
gled_TAPARITA,tapa1262,auto:exact_name (TAPARITA)
gled_WARRNAMBOOL,warr1257,auto:exact_name (WARRNAMBOOL)
hillburmish_Bola,bola1250,auto:exact_name (Bola)
hillburmish_Lashi,lash1243,auto:exact_name (Lashi)
hillburmish_Maru,maru1249,auto:exact_name (Maru)
hillburmish_OldBurmese,oldb1235,auto:exact_name (Old Burmese)
joophonosemantic_ChuanqiandianClusterMiao,chua1256,auto:exact_name (Chuanqiandian Cluster Miao)
leejaponic_Nara,nara1262,auto:exact_name (Nara)
meloniromance_French,stan1290,auto:exact_name (French)
meloniromance_Italian,ital1282,auto:exact_name (Italian)
meloniromance_Latin,lati1261,auto:exact_name (Latin)
meloniromance_Portuguese,port1283,auto:exact_name (Portuguese)
meloniromance_Romanian,roma1327,auto:exact_name (Romanian)
meloniromance_Spanish,stan1288,auto:exact_name (Spanish)
peirosaustroasiatic_PhongV,phon1243,auto:base_name (Phong(V) -> Phong)
peirosst_Milang,mila1245,auto:exact_name (Milang)
robbeetstriangulation_SouthernEvenkiVershinaTuturyBaikal,sout3321,auto:base_name (Southern Evenki (Vershina-Tutury Baikal) -> Southern Evenki)
