Concepticon_ID,source_form_id,Value,Form,Segments,Comment,notes
,iecor_305-208-1,,,f o ʁ m i ɡ ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-4-1,,,s ĩ z ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-6-1,,,k ɔ s t ɐ s,,IPA from Wiktionary (pt)
,iecor_305-7-1,,,m a w,,IPA from Wiktionary (pt)
,iecor_305-8-1,,,k a s k ɐ,,IPA from Wiktionary (pt)
,iecor_305-10-1,,,b a ʁ i ɡ ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-11-1,,,ɡ ɾ ɐ̃ d ͡ ʒ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-12-1,,,p a s a ɾ u,,IPA from Wiktionary (pt)
,iecor_305-13-1,,,m o ʁ d e ʁ,,IPA from Wiktionary (pt)
,iecor_305-215-1,,,a m a ʁ ɡ u,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-14-1,,,p ɾ e t u,,IPA from Wiktionary (pt)
,iecor_305-15-1,,,s ɐ̃ ɡ i,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-17-1,,,o s u,,IPA from Wiktionary (pt)
,iecor_305-19-1,,,ʁ e s p i ɾ a ʁ,,IPA from Wiktionary (pt)
,iecor_305-20-1,,,k e j m a ʁ,,IPA from Wiktionary (pt)
,iecor_305-220-1,,,k a ʁ e ɡ a ʁ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-18-1,,,p e j t u,,IPA from Wiktionary (pt)
,iecor_305-226-1,,,ɡ a ʁ ɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-22-1,,,n u v ẽ j̃,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-23-1,,,f ɾ iu,,IPA from Wiktionary (pt)
,iecor_305-24-1,,,v i ʁ,,IPA from Wiktionary (pt)
,iecor_305-25-1,,,k õ t a ʁ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
,iecor_305-223-1,,,ʃ o ɾ a ʁ,,IPA from Wiktionary (pt)
,iecor_305-27-1,,,d ͡ ʒ iɐ,,IPA from Wiktionary (pt); partial-segmentation (FLAG)
